"Cutthroat1"	"Bartuc's Cut-Throat"
"partychardru"	"Druid"
"partycharass"	"Zabójczyni"
"x"	"Nie można wejść do gry. Postać z Diablo II nie może dołączyć do gry stworzonej przez postać z Rozszerzenia."
"x"	"Nie można wejść do gry. Postać z Rozszerzenia nie może dołączyć do gry stworzonej przez postać z Diablo II."
"charmonsterX"	"%s: %d%%"
"charmontohit1X"	"Bonus Obrażeń od Siły :"
"charmontohit2X"	"Bonus Obrażeń od Zręczności:"
"Party1X"	"%s pozwala ci na ograbienie jego zwłok."
"Party2X"	"%s pozwala ci na ograbienie jej zwłok."
"Party10"	"%s nie pozwala ci już na dostęp do jego zwłok."
"Party11"	"%s nie pozwala ci już na dostęp do jej zwłok."
"Party12"	"Okazujecie sobie wrogość."
"Party13"	"%s okazuje ci wrogość, ale ty okazujesz mu przyjaźń."
"Party14"	"%s okazuje ci wrogość, ale ty okazujesz jej przyjaźń."
"Party 15"	"%s okazuje ci przyjaźń, ale ty okazujesz mu wrogość."
"Party16"	"%s okazuje ci przyjaźń, ale ty okazujesz jej wrogość."
"Party17"	"Okazujecie sobie przyjaźń."
"Party18"	"Możecie ograbiać swoje zwłoki."
"Party19"	"%s może ograbić twoje zwłoki, ale ty nie możesz ograbić jego."
"Party20"	"%s może ograbić twoje zwłoki, ale ty nie możesz ograbić jej."
"Party21"	"%s nie może ograbić twoich zwłok, ale ty możesz ograbić jego."
"Party22"	"%s nie może ograbić twoich zwłok, ale ty możesz ograbić jej."
"Party23"	"Nie możecie ograbiać swoich zwłok."
"Civerb's Ward"	"Civerb's Ward"
"Civerb's Icon"	"Civerb's Icon"
"Civerb's Cudgel"	"Civerb's Cudgel"
"Hsarus' Iron Heel"	"Hsarus' Iron Heel"
"Hsarus' Iron Fist"	"Hsarus' Iron Fist"
"Hsarus' Iron Stay"	"Hsarus' Iron Stay"
"Cleglaw's Tooth"	"Cleglaw's Tooth"
"Cleglaw's Claw"	"Cleglaw's Claw"
"Cleglaw's Pincers"	"Cleglaw's Pincers"
"Iratha's Cord"	"Iratha's Cord"
"Iratha's Coil"	"Iratha's Coil"
"Iratha's Cuff"	"Iratha's Cuff"
"Iratha's Collar"	"Iratha's Collar"
"Isenhart's Horns"	"Isenhart's Horns"
"Isenhart's Case"	"Isenhart's Case"
"Isenhart's Parry"	"Isenhart's Parry"
"Isenhart's Lightbrand"	"Isenhart's Lightbrand"
"Vidala's Snare"	"Vidala's Snare"
"Vidala's Ambush"	"Vidala's Ambush"
"Vidala's Fetlock"	"Vidala's Fetlock"
"Vidala's Barb"	"Vidala's Barb"
"Milabrega's Robe"	"Milabrega's Robe"
"Milabrega's Diadem"	"Milabrega's Diadem"
"Milabrega's Rod"	"Milabrega's Rod"
"Milabrega's Orb"	"Milabrega's Orb"
"Cathan's Seal"	"Cathan's Seal"
"Cathan's Sigil"	"Cathan's Sigil"
"Cathan's Visage"	"Cathan's Visage"
"Cathan's Mesh"	"Cathan's Mesh"
"Cathan's Rule"	"Cathan's Rule"
"Tancred's Crowbill"	"Tancred's Crowbill"
"Tancred's Spine"	"Tancred's Spine"
"Tancred's Hobnails"	"Tancred's Hobnails"
"Tancred's Weird"	"Tancred's Weird"
"Tancred's Skull"	"Tancred's Skull"
"Sigon's Visor"	"Sigon's Visor"
"Sigon's Shelter"	"Sigon's Shelter"
"Sigon's Gage"	"Sigon's Gage"
"Sigon's Sabot"	"Sigon's Sabot"
"Sigon's Wrap"	"Sigon's Wrap"
"Sigon's Guard"	"Sigon's Guard"
"Infernal Cranium"	"Infernal Cranium"
"Infernal Torch"	"Infernal Torch"
"Infernal Sign"	"Infernal Sign"
"Berserker's Headgear"	"Berserker's Headgear"
"Berserker's Hauberk"	"Berserker's Hauberk"
"Berserker's Hatchet"	"Berserker's Hatchet"
"Death's Hand"	"Death's Hand"
"Death's Guard"	"Death's Guard"
"Death's Touch"	"Death's Touch"
"Angelic Sickle"	"Angelic Sickle"
"Angelic Mantle"	"Angelic Mantle"
"Angelic Halo"	"Angelic Halo"
"Angelic Wings"	"Angelic Wings"
"Arctic Horn"	"Arctic Horn"
"Arctic Furs"	"Arctic Furs"
"Arctic Binding"	"Arctic Binding"
"Arctic Mitts"	"Arctic Mitts"
"Arcanna's Sign"	"Arcanna's Sign"
"Arcanna's Deathwand"	"Arcanna's Deathwand"
"Arcanna's Head"	"Arcanna's Head"
"Arcanna's Flesh"	"Arcanna's Flesh"
"skillxname0"	" "
"skillxsd0"	" "
"skillxld0"	" "
"skillxan0"	" "
"skillxname1"	" "
"skillxsd1"	" "
"skillxld1"	" "
"skillxan1"	" "
"skillxname2"	" "
"skillxsd2"	" "
"skillxld2"	" "
"skillxan2"	" "
"skillxname3"	" "
"skillxsd3"	" "
"skillxld3"	" "
"skillxan3"	" "
"skillxname4"	" "
"skillxsd4"	" "
"skillxld4"	" "
"skillxan4"	" "
"skillxname5"	" "
"skillxsd5"	" "
"skillxld5"	" "
"skillxan5"	" "
"skillxname6"	" "
"skillxsd6"	" "
"skillxld6"	" "
"skillxan6"	" "
"skillxname7"	" "
"skillxsd7"	" "
"skillxld7"	"Nasyca Pociski Ogniem"
"skillxan7"	" "
"skillxname8"	" "
"skillxsd8"	" "
"skillxld8"	"Nasyca Pociski Zimnem,działa efekt spowolnienia ale zadają połowę swoich obrażeń"
"skillxan8"	" "
"skillxname9"	" "
"skillxsd9"	" "
"skillxld9"	" "
"skillxan9"	" "
"skillxname10"	" "
"skillxsd10"	" "
"skillxld10"	" "
"skillxan10"	" "
"skillxname11"	" "
"skillxsd11"	" "
"skillxld11"	"Nasyca Pociski Zimnem,działa efekt spowolnienia ale zadają połowę swoich obrażeń"
"skillxan11"	" "
"skillxname12"	" "
"skillxsd12"	" "
"skillxld12"	" "
"skillxan12"	" "
"skillxname13"	" "
"skillxsd13"	" "
"skillxld13"	" "
"skillxan13"	" "
"skillxname14"	" "
"skillxsd14"	" "
"skillxld14"	" "
"skillxan14"	" "
"skillxname15"	" "
"skillxsd15"	" "
"skillxld15"	" "
"skillxan15"	" "
"skillxname16"	" "
"skillxsd16"	" "
"skillxld16"	"Nasyca Pociski Wybuchającym Olejem"
"skillxan16"	" "
"skillxname17"	" "
"skillxsd17"	" "
"skillxld17"	" "
"skillxan17"	" "
"skillxname18"	" "
"skillxsd18"	" "
"skillxld18"	" "
"skillxan18"	" "
"skillxname19"	" "
"skillxsd19"	" "
"skillxld19"	" "
"skillxan19"	" "
"skillxname20"	" "
"skillxsd20"	" "
"skillxld20"	" "
"skillxan20"	" "
"skillxname21"	" "
"skillxsd21"	" "
"skillxld21"	"Nasyca Pociski Olejem,Który Zamraża"
"skillxan21"	" "
"skillxname22"	" "
"skillxsd22"	" "
"skillxld22"	" "
"skillxan22"	" "
"skillxname23"	" "
"skillxsd23"	" "
"skillxld23"	" "
"skillxan23"	" "
"skillxname24"	" "
"skillxsd24"	" "
"skillxld24"	" "
"skillxan24"	" "
"skillxname25"	" "
"skillxsd25"	" "
"skillxld25"	" "
"skillxan25"	" "
"skillxname26"	" "
"skillxsd26"	" "
"skillxld26"	" "
"skillxan26"	" "
"skillxname27"	" "
"skillxsd27"	" "
"skillxld27"	"Nasyca Pociski Gorącym Olejem"
"skillxan27"	" "
"skillxname28"	" "
"skillxsd28"	" "
"skillxld28"	" "
"skillxan28"	" "
"skillxname29"	" "
"skillxsd29"	" "
"skillxld29"	" "
"skillxan29"	" "
"skillxname30"	" "
"skillxsd30"	" "
"skillxld30"	" "
"skillxan30"	" "
"skillxname31"	" "
"skillxsd31"	" "
"skillxld31"	"Nasyca Pociski Olejem,Który Zamraża"
"skillxan31"	" "
"skillxname32"	" "
"skillxsd32"	" "
"skillxld32"	" "
"skillxan32"	" "
"skillxname33"	" "
"skillxsd33"	" "
"skillxld33"	" "
"skillxan33"	" "
"skillxname34"	" "
"skillxsd34"	" "
"skillxld34"	" "
"skillxan34"	" "
"skillxname35"	" "
"skillxsd35"	" "
"skillxld35"	" "
"skillxan35"	" "
"skillxname36"	" "
"skillxsd36"	" "
"skillxld36"	" "
"skillxan36"	" "
"skillxname37"	" "
"skillxsd37"	" "
"skillxld37"	" "
"skillxan37"	" "
"skillxname38"	" "
"skillxsd38"	" "
"skillxld38"	" "
"skillxan38"	" "
"skillxname39"	" "
"skillxsd39"	" "
"skillxld39"	" "
"skillxan39"	" "
"skillxname40"	" "
"skillxsd40"	" "
"skillxld40"	" "
"skillxan40"	" "
"skillxname41"	" "
"skillxsd41"	" "
"skillxld41"	" "
"skillxan41"	" "
"skillxname42"	" "
"skillxsd42"	" "
"skillxld42"	"Tworzy Elektryczne Pole,które Zmniejsza Życie Wrogów"
"skillxan42"	" "
"skillxname43"	" "
"skillxsd43"	" "
"skillxld43"	" "
"skillxan43"	" "
"skillxname44"	" "
"skillxsd44"	" "
"skillxld44"	" "
"skillxan44"	" "
"skillxname45"	" "
"skillxsd45"	" "
"skillxld45"	" "
"skillxan45"	" "
"skillxname46"	" "
"skillxsd46"	" "
"skillxld46"	" "
"skillxan46"	" "
"skillxname47"	" "
"skillxsd47"	" "
"skillxld47"	" "
"skillxan47"	" "
"skillxname48"	" "
"skillxsd48"	" "
"skillxld48"	" "
"skillxan48"	" "
"skillxname49"	" "
"skillxsd49"	" "
"skillxld49"	" "
"skillxan49"	" "
"skillxname50"	" "
"skillxsd50"	" "
"skillxld50"	" "
"skillxan50"	" "
"skillxname51"	" "
"skillxsd51"	" "
"skillxld51"	" "
"skillxan51"	" "
"skillxname52"	" "
"skillxsd52"	" "
"skillxld52"	" "
"skillxan52"	" "
"skillxname53"	" "
"skillxsd53"	" "
"skillxld53"	" "
"skillxan53"	" "
"skillxname54"	" "
"skillxsd54"	" "
"skillxld54"	" "
"skillxan54"	" "
"skillxname55"	" "
"skillxsd55"	" "
"skillxld55"	" "
"skillxan55"	" "
"skillxname56"	" "
"skillxsd56"	" "
"skillxld56"	" "
"skillxan56"	" "
"skillxname57"	" "
"skillxsd57"	" "
"skillxld57"	" "
"skillxan57"	" "
"skillxname58"	" "
"skillxsd58"	" "
"skillxld58"	" "
"skillxan58"	" "
"skillxname59"	" "
"skillxsd59"	" "
"skillxld59"	" "
"skillxan59"	" "
"skillxname60"	" "
"skillxsd60"	" "
"skillxld60"	" "
"skillxan60"	" "
"skillxsname61"	" "
"skillxsd61"	" "
"skillxld61"	" "
"skillxan61"	" "
"skillxname62"	" "
"skillxsd62"	" "
"skillxld62"	" "
"skillxan62"	" "
"skillxname63"	" "
"skillxsd63"	"um. pasywna - zwiększa obrażenia od błyskawic"
"skillxld63"	"um. pasywna - zwiększa obrażenia od czarów błyskawic"
"skillxan63"	" "
"skillxname64"	" "
"skillxsd64"	" "
"skillxld64"	" "
"skillxan64"	" "
"skillxname65"	" "
"skillxsd65"	" "
"skillxld65"	" "
"skillxan65"	" "
"skillxname66"	" "
"skillxsd66"	" "
"skillxld66"	" "
"skillxan66"	" "
"skillxname67"	" "
"skillxsd67"	" "
"skillxld67"	" "
"skillxan67"	" "
"skillxname68"	" "
"skillxsd68"	" "
"skillxld68"	" "
"skillxan68"	" "
"skillxname69"	" "
"skillxsd69"	" "
"skillxld69"	" "
"skillxan69"	" "
"skillxname70"	" "
"skillxsd70"	" "
"skillxld70"	" "
"skillxan70"	" "
"skillxname71"	" "
"skillxsd71"	" "
"skillxld71"	" "
"skillxan71"	" "
"skillxname72"	" "
"skillxsd72"	" "
"skillxld72"	" "
"skillxan72"	" "
"skillxname73"	" "
"skillxsd73"	" "
"skillxld73"	" "
"skillxan73"	" "
"skillxname74"	" "
"skillxsd74"	" "
"skillxld74"	" "
"skillxan74"	" "
"skillxname75"	" "
"skillxsd75"	" "
"skillxld75"	" "
"skillxan75"	" "
"skillxname76"	" "
"skillxsd76"	" "
"skillxld76"	" "
"skillxan76"	" "
"skillxname77"	" "
"skillxsd77"	" "
"skillxld77"	" "
"skillxan77"	" "
"skillxname78"	" "
"skillxsd78"	" "
"skillxld78"	" "
"skillxan78"	" "
"skillxname79"	" "
"skillxsd79"	" "
"skillxld79"	" "
"skillxan79"	" "
"skillxname80"	" "
"skillxsd80"	" "
"skillxld80"	" "
"skillxan80"	" "
"skillxname81"	" "
"skillxsd81"	" "
"skillxld81"	" "
"skillxan81"	" "
"skillxname82"	" "
"skillxsd82"	" "
"skillxld82"	" "
"skillxan82"	" "
"skillxname83"	" "
"skillxsd83"	" "
"skillxld83"	" "
"skillxan83"	" "
"skillxname84"	" "
"skillxsd84"	" "
"skillxld84"	" "
"skillxan84"	" "
"skillxname85"	" "
"skillxsd85"	" "
"skillxld85"	" "
"skillxan85"	" "
"skillxname86"	" "
"skillxsd86"	" "
"skillxld86"	"Wrogowie Atakują Przeklęte Stwory"
"skillxan86"	" "
"skillxname87"	" "
"skillxsd87"	" "
"skillxld87"	" "
"skillxan87"	" "
"skillxname88"	" "
"skillxsd88"	" "
"skillxld88"	" "
"skillxan88"	" "
"skillxname89"	" "
"skillxsd89"	" "
"skillxld89"	" "
"skillxan89"	" "
"skillxname90"	" "
"skillxsd90"	" "
"skillxld90"	" "
"skillxan90"	" "
"skillxname91"	" "
"skillxsd91"	" "
"skillxld91"	" "
"skillxan91"	" "
"skillxname92"	" "
"skillxsd92"	" "
"skillxld92"	" "
"skillxan92"	" "
"skillxname93"	" "
"skillxsd93"	" "
"skillxld93"	" "
"skillxan93"	" "
"skillxname94"	" "
"skillxsd94"	" "
"skillxld94"	" "
"skillxan94"	" "
"skillxname95"	" "
"skillxsd95"	" "
"skillxld95"	" "
"skillxan95"	" "
"skillxname96"	" "
"skillxsd96"	" "
"skillxld96"	" "
"skillxan96"	" "
"skillxname97"	" "
"skillxsd97"	" "
"skillxld97"	" "
"skillxan97"	" "
"skillxname98"	" "
"skillxsd98"	" "
"skillxld98"	" "
"skillxan98"	" "
"skillxname99"	" "
"skillxsd99"	" "
"skillxld99"	" "
"skillxan99"	" "
"skillxname100"	" "
"skillxsd100"	" "
"skillxld100"	" "
"skillxan100"	" "
"skillxname101"	" "
"skillxsd101"	" "
"skillxld101"	" "
"skillxan101"	" "
"skillxname102"	" "
"skillxsd102"	" "
"skillxld102"	" "
"skillxan102"	" "
"skillxname103"	" "
"skillxsd103"	" "
"skillxld103"	" "
"skillxan103"	" "
"skillxname104"	" "
"skillxsd104"	" "
"skillxld104"	" "
"skillxan104"	" "
"skillxname105"	" "
"skillxsd105"	" "
"skillxld105"	" "
"skillxan105"	" "
"skillxname106"	" "
"skillxsd106"	" "
"skillxld106"	" "
"skillxan106"	" "
"skillxname107"	" "
"skillxsd107"	" "
"skillxld107"	" "
"skillxan107"	" "
"skillxname108"	" "
"skillxsd108"	" "
"skillxld108"	" "
"skillxan108"	" "
"skillxname109"	" "
"skillxsd109"	" "
"skillxld109"	" "
"skillxan109"	" "
"skillxname110"	" "
"skillxsd110"	" "
"skillxld110"	" "
"skillxan110"	" "
"skillxname111"	" "
"skillxsd111"	" "
"skillxld111"	" "
"skillxan111"	" "
"skillxname112"	" "
"skillxsd112"	" "
"skillxld112"	" "
"skillxan112"	" "
"skillxname113"	" "
"skillxsd113"	" "
"skillxld113"	" "
"skillxan113"	" "
"skillxname114"	" "
"skillxsd114"	" "
"skillxld114"	" "
"skillxan114"	" "
"skillxname115"	" "
"skillxsd115"	" "
"skillxld115"	" "
"skillxan115"	" "
"skillxname116"	" "
"skillxsd116"	" "
"skillxld116"	" "
"skillxan116"	" "
"skillxname117"	" "
"skillxsd117"	" "
"skillxld117"	" "
"skillxan117"	" "
"skillxname118"	" "
"skillxsd118"	" "
"skillxld118"	"dodaje obrażenia od błyskawic do twoich ataków\nsą ranieni przez wyładowania elektryczne\nkiedy aura jest aktywna, sprawia, że pobliscy wrogowie"
"skillxan118"	" "
"skillxname119"	" "
"skillxsd119"	" "
"skillxld119"	" "
"skillxan119"	" "
"skillxname120"	" "
"skillxsd120"	" "
"skillxld120"	" "
"skillxan120"	" "
"skillxname121"	" "
"skillxsd121"	" "
"skillxld121"	" "
"skillxan121"	" "
"skillxname122"	" "
"skillxsd122"	"aura - zwiększa obrażenia i szybkość ataku"
"skillxld122"	"oraz skuteczność ataku dla ciebie i twojej drużyny\nkiedy aura jest aktywna, zwiększa obrażenia, szybkość ataku,"
"skillxan122"	" "
"skillxname123"	" "
"skillxsd123"	"aura - osłabia wrogów"
"skillxld123"	" "
"skillxan123"	" "
"skillxname124"	" "
"skillxsd124"	" "
"skillxld124"	"uzupełnia życie i manę\ndusze zabitych wrogów przez co \nkiedy aura jest aktywna odkupia"
"skillxan124"	" "
"skillxname125"	" "
"skillxsd125"	" "
"skillxld125"	" "
"skillxan125"	" "
"skillxname126"	" "
"skillxsd126"	" "
"skillxld126"	" "
"skillxan126"	" "
"skillxname127"	" "
"skillxsd127"	" "
"skillxld127"	" "
"skillxan127"	" "
"skillxname128"	" "
"skillxsd128"	" "
"skillxld128"	" "
"skillxan128"	" "
"skillxname129"	" "
"skillxsd129"	" "
"skillxld129"	" "
"skillxan129"	" "
"skillxname130"	" "
"skillxsd130"	" "
"skillxld130"	" "
"skillxan130"	" "
"skillxname131"	" "
"skillxsd131"	" "
"skillxld131"	" "
"skillxan131"	" "
"skillxname132"	" "
"skillxsd132"	" "
"skillxld132"	" "
"skillxan132"	" "
"skillxname133"	" "
"skillxsd133"	" "
"skillxld133"	" "
"skillxan133"	" "
"skillxname134"	" "
"skillxsd134"	" "
"skillxld134"	" "
"skillxan134"	" "
"skillxname135"	" "
"skillxsd135"	" "
"skillxld135"	" "
"skillxan135"	" "
"skillxname136"	" "
"skillxsd136"	" "
"skillxld136"	" "
"skillxan136"	" "
"skillxname137"	" "
"skillxsd137"	" "
"skillxld137"	" "
"skillxan137"	" "
"skillxname138"	" "
"skillxsd138"	" "
"skillxld138"	" "
"skillxan138"	" "
"skillxname139"	" "
"skillxsd139"	" "
"skillxld139"	" "
"skillxan139"	" "
"skillxname140"	" "
"skillxsd140"	" "
"skillxld140"	" "
"skillxan140"	" "
"skillxname141"	" "
"skillxsd141"	" "
"skillxld141"	" "
"skillxan141"	" "
"skillxname142"	" "
"skillxsd142"	" "
"skillxld142"	" "
"skillxan142"	" "
"skillxname143"	" "
"skillxsd143"	" "
"skillxld143"	" "
"skillxan143"	" "
"skillxname144"	" "
"skillxsd144"	" "
"skillxld144"	" "
"skillxan144"	" "
"skillxname145"	" "
"skillxsd145"	" "
"skillxld145"	" "
"skillxan145"	" "
"skillxname146"	" "
"skillxsd146"	" "
"skillxld146"	" "
"skillxan146"	" "
"skillxname147"	" "
"skillxsd147"	" "
"skillxld147"	" "
"skillxan147"	" "
"skillxname148"	" "
"skillxsd148"	" "
"skillxld148"	" "
"skillxan148"	" "
"skillxname149"	" "
"skillxsd149"	" "
"skillxld149"	" "
"skillxan149"	" "
"skillxname150"	" "
"skillxsd150"	" "
"skillxld150"	" "
"skillxan150"	" "
"skillxname151"	" "
"skillxsd151"	" "
"skillxld151"	" "
"skillxan151"	" "
"skillxname152"	" "
"skillxsd152"	" "
"skillxld152"	" "
"skillxan152"	" "
"skillxname153"	" "
"skillxsd153"	" "
"skillxld153"	" "
"skillxan153"	" "
"skillxname154"	" "
"skillxsd154"	" "
"skillxld154"	" "
"skillxan154"	" "
"skillxname155"	" "
"skillxsd155"	" "
"skillxld155"	" "
"skillxan155"	" "
"strHostileTimeout"	"Musisz chwilę poczekać, aby zadeklarować wrogość wobec tego gracza."
"ShrId0"	"Null Shrine"
"ShrId1"	"Kapliczka Uzupełnienia"
"ShrId2"	"Kapliczka Życia"
"ShrId3"	"Kapliczka Many"
"ShrId4"	"Kapliczka Wymiany Życia"
"ShrId5"	"Kapliczka Wymiany Many"
"ShrId6"	"Kapliczka Obrony"
"ShrId7"	"Kapliczka Walki"
"ShrId8"	"Kapliczka Odporności na Ogień"
"ShrId9"	"Kapliczka Odporności na Zimno"
"ShrId10"	"Kapliczka Odporności na Błyskawice"
"ShrId11"	"Kapliczka Odporności na Trucizny"
"ShrId12"	"Kapliczka Umiejętności"
"ShrId13"	"Kapliczka Uzupełniania Many"
"ShrId14"	"Kapliczka Wytrzymałości"
"ShrId15"	"Kapliczka Doświadczenia"
"ShrId16"	"Kapliczka Enirhs"
"ShrId17"	"Kapliczka Portali"
"ShrId18"	"Kapliczka Skarbów"
"ShrId19"	"Kapliczka Ognia"
"ShrId20"	"Kapliczka Potworów"
"ShrId21"	"Kapliczka Eksplozji"
"ShrId22"	"Kapliczka Trucizny"
"x"	"STWÓRZ"
"CfgSkillPick"	"Szybkość--Pasek-Umiejętności"
"x"	"Weryfikacja Hasła"
"MercX101"	"Varaya"
"MercX102"	"Khan"
"MercX103"	"Klisk"
"MercX104"	"Bors"
"MercX105"	"Brom"
"MercX106"	"Wiglaf"
"MercX107"	"Hrothgar"
"MercX108"	"Scyld"
"MercX109"	"Healfdane"
"MercX110"	"Heorogar"
"MercX111"	"Halgaunt"
"MercX112"	"Hygelac"
"MercX113"	"Egtheow"
"MercX114"	"Bohdan"
"MercX115"	"Wulfgar"
"MercX116"	"Hild"
"MercX117"	"Heatholaf"
"MercX118"	"Weder"
"MercX119"	"Vikhyat"
"MercX120"	"Unferth"
"MercX121"	"Sigemund"
"MercX122"	"Heremod"
"MercX123"	"Hengest"
"MercX124"	"Folcwald"
"MercX125"	"Frisian"
"MercX126"	"Zennyel"
"MercX127"	"Guthlaf"
"MercX128"	"Oslaf"
"MercX129"	"Yrmenlaf"
"MercX130"	"Garmund"
"MercX131"	"Lanth"
"MercX132"	"Eadgils"
"MercX133"	"Onela"
"MercX134"	"Damien"
"MercX135"	"Erfor"
"MercX136"	"Weohstan"
"MercX137"	"Wulf"
"MercX138"	"Bulwye"
"MercX139"	"Lief"
"MercX140"	"Magnus"
"MercX141"	"Klatu"
"MercX142"	"Drus"
"MercX143"	"Hoku"
"MercX144"	"Kord"
"MercX145"	"Uther"
"MercX146"	"Ip"
"MercX147"	"Ulf"
"MercX148"	"Tharr"
"MercX149"	"Kaelim"
"MercX150"	"Ulric"
"MercX151"	"Alaric"
"MercX152"	"Ethelred"
"MercX153"	"Caden"
"MercX154"	"Elgifu"
"MercX155"	"Tostig"
